X,Y
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1168,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,644
1166,642
1166,642
1166,642
1166,642
1166,642
1166,642
1166,642
1166,642
1166,642
1166,642
1164,642
1164,642
1164,642
1164,642
1164,640
1164,640
1166,640
1164,640
1164,640
1164,638
1164,638
1164,638
1164,638
1164,638
1164,636
1152,640
1152,642
1152,642
1150,644
1150,644
1152,644
1150,660
1148,662
1148,662
1148,666
1146,668
1146,670
1146,670
1146,680
1146,684
1146,684
1146,686
1144,688
1146,690
1144,692
1142,694
1104,774
1102,778
1098,780
1098,784
1096,788
1092,792
1092,792
1090,796
1088,798
1084,802
1082,806
1080,810
1076,816
1074,818
1072,820
1070,822
1070,828
1066,828
1064,830
1062,832
1060,836
1060,838
1056,840
1056,842
1052,844
1050,846
1050,848
1048,850
1044,854
1042,856
1042,860
1040,860
1036,864
1036,864
1034,868
1032,870
1030,872
1028,872
1026,874
1026,878
1022,880
1020,880
1018,884
1014,886
1014,886
1014,890
1010,890
1008,894
1006,894
1004,898
1002,898
1000,902
998,904
996,902
994,908
992,906
990,910
988,912
984,914
982,914
982,916
978,922
976,924
974,924
972,926
968,928
968,928
964,930
964,932
960,934
958,936
954,938
952,940
950,940
948,942
948,942
946,942
944,944
942,944
940,946
938,950
936,950
934,950
932,952
930,952
928,952
926,954
926,956
924,958
922,956
918,958
916,960
916,960
914,960
912,960
910,960
908,962
906,962
904,962
902,962
900,964
898,966
896,966
894,966
894,968
892,968
888,968
886,968
882,970
882,970
882,970
880,970
876,972
874,972
874,970
872,972
870,972
868,972
864,972
864,972
862,972
860,972
858,976
856,972
852,974
854,974
852,974
848,974
846,974
844,976
844,976
840,976
838,974
838,972
836,976
834,974
830,976
830,972
828,974
826,974
824,976
822,974
820,974
820,972
816,972
816,972
812,970
810,972
810,970
808,970
804,968
800,968
800,968
798,968
796,970
796,968
792,966
790,964
788,964
786,966
784,962
782,962
780,962
780,960
778,962
774,960
774,958
772,958
770,960
768,956
766,956
762,958
760,958
762,954
758,954
756,952
754,950
752,952
750,948
746,950
748,948
744,946
744,946
742,944
738,940
736,944
734,940
732,938
730,936
728,938
726,936
726,934
722,932
720,932
720,928
718,928
716,926
714,924
714,924
710,922
708,922
706,920
706,916
704,916
700,914
700,912
696,910
696,908
694,906
690,906
688,906
686,904
686,900
684,898
682,898
680,896
676,894
676,892
676,890
672,888
672,886
668,886
668,882
666,880
664,878
662,876
658,874
658,872
654,870
652,868
650,864
646,860
646,860
644,858
642,854
640,854
638,850
636,848
636,846
634,842
630,840
630,838
626,836
626,834
624,830
622,830
618,826
618,824
616,822
614,818
614,818
610,812
606,808
604,806
602,802
600,798
598,796
594,796
594,790
594,790
590,784
590,782
588,778
586,778
584,776
582,772
580,770
578,764
574,762
574,756
562,740
560,738
552,726
546,712
