X,Y
1168,632
1168,634
1168,634
1168,636
1166,638
1166,654
1166,656
1164,656
1164,658
1164,658
1164,662
1164,668
1164,670
1164,672
1166,676
1166,676
1164,678
1164,680
1164,680
1164,682
1164,684
1164,686
1164,688
1162,688
1164,692
1162,692
1160,698
1130,762
1122,770
1120,774
1120,776
1118,780
1114,782
1112,786
1110,790
1108,792
1106,794
1102,798
1100,802
1100,804
1098,808
1096,810
1092,814
1092,816
1090,818
1088,820
1086,824
1082,826
1080,828
1078,832
1076,836
1074,838
1072,840
1070,842
1068,846
1066,848
1064,850
1062,852
1060,854
1058,856
1056,860
1054,862
1052,864
1050,866
1046,868
1044,870
1044,872
1042,874
1040,878
1038,880
1036,882
1034,884
1032,886
1028,888
1028,890
1026,894
1024,896
1022,898
1018,898
1016,902
1014,904
1010,906
1010,908
1008,908
1004,910
1004,912
1000,916
998,918
998,920
994,920
992,922
990,924
986,926
984,930
982,932
980,934
978,934
978,936
974,936
972,940
972,942
968,942
966,946
964,944
962,946
960,946
958,950
956,952
954,950
952,954
948,954
946,956
946,956
944,960
942,958
940,962
936,962
936,962
934,964
930,966
930,966
930,966
926,968
924,970
922,968
920,970
918,972
916,972
912,974
912,974
910,974
908,976
906,976
904,976
902,978
900,978
898,980
896,980
892,982
892,982
890,982
890,984
886,984
884,982
882,984
880,984
878,986
876,986
872,986
872,986
870,988
868,990
866,988
864,986
862,990
860,988
856,990
856,990
854,992
852,990
850,990
848,990
846,990
842,990
842,990
840,990
838,992
836,990
834,990
832,992
830,992
828,994
826,994
824,992
822,992
820,994
818,990
816,990
814,990
808,990
802,988
794,988
784,988
784,984
782,984
780,984
778,984
776,982
776,984
774,984
770,982
768,980
766,980
764,978
760,980
758,980
758,976
756,976
754,976
752,974
750,976
748,972
746,972
744,970
742,968
738,970
736,968
736,968
734,966
732,966
732,966
728,962
728,960
722,962
722,960
720,960
718,958
714,956
712,956
710,954
710,950
708,950
706,948
702,948
702,946
700,946
696,944
696,944
694,942
692,938
690,936
688,936
684,934
684,932
684,930
680,928
678,928
676,928
674,924
672,924
670,922
668,920
666,918
666,916
664,916
660,914
658,908
654,908
652,908
650,904
650,902
646,900
642,896
642,894
640,892
636,888
634,886
630,884
616,828
614,826
614,824
616,822
616,820
616,818
616,816
616,814
616,814
616,812
616,810
616,808
616,806
616,804
618,802
618,798
618,798
618,796
618,794
618,792
618,788
618,788
618,786
618,782
620,782
620,780
620,778
620,776
620,774
620,772
622,770
620,768
622,766
622,764
622,762
622,760
624,758
624,754
624,752
624,750
624,748
626,744
624,744
626,740
624,738
624,736
624,734
626,730
626,728
626,726
626,722
626,720
626,718
628,714
626,710
628,708
628,704
628,702
628,700
628,696
628,694
630,688
628,686
630,684
630,680
632,676
630,674
630,670
632,670
632,666
630,662
632,656
632,646
634,642
634,636
634,626
634,620
634,614
636,610
636,602
638,598
636,594
636,590
636,586
636,582
638,578
636,574
638,572
638,568
638,564
638,560
638,556
640,544
660,546
662,548
666,554
666,556
668,558
670,558
668,558
670,560
670,562
672,564
672,564
674,566
674,568
676,568
674,568
676,570
678,570
678,570
680,572
678,572
678,574
680,574
682,574
680,574
682,576
682,576
684,576
684,576
684,576
684,576
686,578
686,578
686,578
688,576
688,578
688,578
688,578
688,578
690,578
690,578
690,578
692,578
692,578
692,578
694,578
694,578
694,578
694,578
694,578
696,578
696,578
698,578
698,578
698,578
698,578
700,576
700,578
700,576
700,578
702,576
702,576
702,576
702,574
704,574
704,574
706,574
706,572
706,572
706,570
708,572
708,570
708,570
708,570
710,568
710,566
710,566
712,566
712,564
714,564
712,562
714,562
714,562
716,562
716,558
718,558
718,556
718,552
736,518
736,516
736,510
736,510
