X,Y
1146,634
1144,634
1144,638
1144,638
1144,638
1142,640
1142,642
1142,642
1142,644
1140,658
1138,660
1138,668
1140,672
1138,674
1136,686
1136,688
1136,690
1136,692
1136,694
1136,698
1100,766
1098,770
1096,774
1094,778
1092,780
1088,782
1086,786
1084,790
1084,790
1080,794
1074,804
1074,806
1070,808
1068,812
1066,814
1064,818
1062,822
1058,822
1056,826
1054,828
1052,830
1052,834
1050,838
1046,838
1044,842
1042,846
1042,848
1038,850
1036,852
1034,856
1032,858
1030,860
1028,862
1026,866
1024,868
1022,870
1020,872
1018,874
1016,878
1014,880
1010,880
1010,884
1006,884
1004,886
1002,890
1000,890
998,896
996,896
994,898
992,900
990,902
986,906
984,910
980,910
978,914
978,916
974,916
972,920
968,920
968,924
966,926
964,926
962,928
958,928
956,932
956,934
952,934
950,938
948,938
946,940
944,942
942,942
942,946
940,946
936,946
934,948
932,952
930,952
928,954
928,954
924,954
922,960
920,960
918,960
916,962
914,962
912,964
908,966
908,968
904,970
902,970
900,972
898,970
896,970
894,972
890,974
890,974
886,976
886,978
884,978
882,978
880,984
878,980
876,982
874,982
872,982
868,984
868,986
866,984
862,988
862,986
860,988
856,988
856,988
852,990
850,992
850,990
848,990
844,992
842,992
840,994
838,992
836,996
834,994
832,994
830,996
828,994
822,996
822,996
820,996
818,998
816,996
814,996
810,998
808,998
808,998
806,996
804,996
800,996
798,998
796,996
790,998
788,996
786,996
784,998
782,996
780,996
778,996
774,998
772,996
766,994
766,996
764,996
764,996
760,996
758,996
754,994
748,994
748,990
746,990
744,990
744,992
740,990
738,988
734,986
732,988
728,986
728,988
726,986
724,986
722,986
718,982
718,980
716,980
714,980
712,982
706,982
702,976
704,978
700,974
698,972
694,976
692,972
690,974
692,970
688,968
686,970
682,964
682,964
678,966
676,964
674,962
674,960
672,958
668,958
668,956
666,954
662,956
662,952
660,950
654,948
654,950
654,944
648,944
648,942
644,942
644,940
644,940
640,936
636,934
634,934
632,934
632,932
628,930
624,930
626,924
620,922
618,920
616,918
616,916
614,916
612,914
610,912
596,898
602,838
600,836
600,834
600,836
598,834
598,834
598,832
596,832
598,832
596,830
596,830
594,828
594,826
594,826
592,822
592,822
592,822
592,818
592,820
590,818
590,818
590,814
588,814
590,810
588,808
586,808
584,806
584,806
584,804
584,802
584,802
582,800
582,798
580,796
580,794
582,794
580,792
580,788
578,788
580,788
578,784
578,784
576,780
576,782
574,776
576,774
574,774
574,770
574,772
574,768
574,766
574,766
572,762
572,760
570,758
568,754
568,752
568,744
566,738
564,732
562,730
564,728
564,728
562,724
562,722
562,718
562,716
560,714
560,712
560,708
556,700
556,700
556,694
554,684
552,676
552,674
552,672
548,656
548,652
542,618
540,606
540,596
536,576
534,572
520,530
520,532
