X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1392,740
1388,744
-inf,-inf
-inf,-inf
1378,758
1376,760
1372,764
-inf,-inf
1366,770
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1320,818
-inf,-inf
-inf,-inf
1312,826
1306,832
1304,838
-inf,-inf
-inf,-inf
1294,844
-inf,-inf
-inf,-inf
-inf,-inf
1282,854
1280,856
1276,858
1272,862
1272,864
1266,868
1262,870
1258,872
1256,874
1254,880
1252,882
1248,884
1244,886
1240,888
1238,890
1236,894
1232,896
1230,900
1224,900
1220,902
1218,904
1216,908
1212,910
1210,914
1206,916
1204,916
1200,920
1196,922
1194,922
1192,926
1186,926
1186,930
1180,934
1178,936
1174,936
1172,938
1168,940
1164,942
1162,942
1158,946
1154,948
1152,952
1148,952
1144,956
1140,954
1138,956
1134,956
1134,960
1130,964
1126,964
1124,966
1120,966
1120,970
1116,970
1110,974
1108,974
1106,976
1100,976
1100,978
1096,982
1092,984
1090,986
1086,986
1082,986
1078,990
1076,990
1074,992
1068,994
1066,996
1064,996
1060,998
1058,996
1054,996
1054,1000
1048,1000
1044,1004
1042,1004
1038,1002
1034,1006
1032,1004
1028,1006
1026,1010
1022,1008
1018,1010
1016,1012
1014,1014
1010,1014
1006,1018
1004,1016
1000,1018
998,1020
994,1018
990,1020
988,1020
984,1020
980,1022
976,1022
974,1020
968,1024
966,1022
964,1024
960,1026
-inf,-inf
-inf,-inf
952,1024
950,1028
948,1026
944,1028
940,1030
938,1028
934,1028
930,1030
928,1028
924,1030
922,1030
918,1028
916,1030
912,1034
908,1034
906,1030
902,1030
900,1034
898,1032
894,1032
890,1030
886,1036
882,1032
880,1030
876,1036
874,1032
870,1032
868,1032
862,1034
860,1034
858,1032
854,1030
852,1030
848,1030
846,1030
840,1030
836,1030
836,1030
832,1030
830,1026
826,1026
824,1030
822,1028
818,1028
814,1028
812,1028
806,1028
804,1026
798,1026
798,1026
792,1024
790,1024
788,1024
786,1026
780,1022
780,1022
774,1020
772,1020
770,1018
766,1016
764,1016
760,1016
756,1014
754,1014
750,1012
748,1012
744,1010
740,1010
738,1012
734,1008
