X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1106,762
1104,764
1102,766
1100,770
1098,772
1096,776
1094,780
1090,782
1088,786
1086,788
1084,792
1082,794
1080,798
1080,800
1076,804
1074,806
1072,808
1070,812
1068,814
1066,816
1064,820
1062,822
1058,824
1056,828
1056,832
1054,832
1050,836
1048,838
1048,840
1046,842
1044,846
1040,848
1038,850
1036,852
1034,856
1032,858
1030,860
1028,862
1026,864
1024,866
1022,870
1020,872
1018,874
1016,876
1014,878
1010,880
1010,884
1008,886
1004,886
1002,888
1000,892
998,894
996,896
992,898
990,900
988,902
992,902
986,908
984,906
984,908
980,910
978,910
976,912
974,914
972,916
970,918
966,918
966,922
964,922
960,926
958,926
956,926
954,932
952,932
950,936
948,934
946,938
944,938
942,938
942,940
938,942
936,944
934,944
932,946
932,948
928,948
926,952
924,950
920,954
920,954
918,956
916,956
914,958
912,960
910,958
908,960
904,962
902,962
900,966
900,966
898,966
894,966
892,968
892,970
888,970
886,970
882,970
882,974
880,972
880,974
874,974
874,974
872,976
872,976
868,976
866,976
864,976
862,978
860,978
858,980
856,980
854,980
852,982
850,982
848,980
846,982
844,982
842,982
838,984
838,984
834,986
832,986
830,982
828,986
824,984
822,984
824,984
820,986
816,984
816,984
814,986
810,986
810,986
808,986
806,986
804,986
802,984
800,984
798,986
796,984
794,986
790,984
790,986
788,986
786,984
784,986
782,984
780,984
778,982
776,982
774,982
772,982
770,982
768,982
768,984
764,982
760,982
762,982
758,980
756,980
754,978
752,980
748,978
746,978
744,978
742,976
738,978
738,974
736,972
734,974
732,970
730,970
726,972
726,970
724,968
722,968
718,970
718,964
712,964
714,964
710,964
710,960
706,962
704,962
702,960
700,960
698,958
698,954
696,954
694,952
690,954
688,952
688,948
686,948
680,946
680,948
678,948
676,944
674,944
672,942
672,940
668,938
664,938
664,936
664,932
660,934
658,930
656,930
654,928
654,924
652,924
648,922
644,920
644,920
642,918
638,914
638,914
636,914
634,912
630,908
628,906
626,904
624,902
622,902
620,898
618,896
614,894
614,892
612,890
608,890
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
574,852
-inf,-inf
572,852
572,850
-inf,-inf
572,850
572,850
570,848
570,848
570,848
570,848
570,846
570,846
568,846
568,844
568,844
566,844
566,842
566,842
566,842
566,840
564,838
566,838
564,838
564,838
566,838
564,836
564,834
564,834
562,832
562,830
560,828
562,830
562,828
562,828
562,826
560,822
560,824
558,822
560,820
556,820
558,820
556,818
558,814
558,814
556,812
558,814
556,810
554,810
556,808
556,806
556,804
556,802
554,802
556,800
552,800
552,798
552,796
554,794
550,792
