X,Y
1158,628
1152,642
1152,644
1150,644
1150,664
1150,666
1148,670
1148,672
1148,674
1148,680
1150,682
1150,684
1148,686
1148,688
1148,688
1148,692
1148,696
1146,698
1148,700
1112,770
1108,776
1106,780
1104,782
1102,784
1100,790
1096,792
1094,796
1094,798
1090,802
1088,806
1084,808
1082,814
1080,816
1078,818
1072,824
1072,826
1070,828
1066,832
1064,836
1062,838
1060,840
1058,842
1056,844
1054,848
1052,850
1050,852
1048,856
1046,858
1044,860
1042,862
1040,866
1038,868
1036,870
1034,872
1032,876
1028,878
1028,880
1024,884
1022,884
1020,888
1018,890
1016,892
1014,894
1012,896
1010,898
1008,900
1008,902
1002,904
1002,906
1000,908
996,910
994,912
992,914
990,914
984,920
982,922
982,924
976,928
976,930
972,932
972,934
968,938
962,940
960,942
958,944
956,946
954,948
952,948
950,950
948,952
946,952
944,954
942,956
938,956
936,958
934,960
934,962
932,964
928,964
926,966
926,968
922,968
920,968
918,970
916,972
914,972
912,974
910,976
906,976
906,978
900,978
900,980
898,982
894,982
894,984
892,984
888,986
886,986
884,988
882,986
880,990
878,990
876,988
874,988
872,990
870,990
868,990
866,992
864,992
862,994
860,994
856,996
854,994
854,998
850,996
848,996
844,996
844,998
840,998
838,1000
836,998
834,998
832,1000
830,1000
828,1000
826,1000
824,1002
822,1000
820,1000
818,1000
814,1002
812,1002
810,1002
808,1002
806,1002
804,1002
800,1002
796,1000
794,1000
792,1000
792,1000
786,1000
784,1000
784,1000
780,998
776,998
774,998
770,998
764,1000
764,998
758,994
756,994
754,996
752,994
750,996
748,994
744,994
742,990
740,990
740,992
736,988
732,988
732,990
730,984
728,984
726,986
724,984
722,982
720,984
716,982
716,980
712,980
710,978
706,978
708,978
704,974
700,974
702,974
698,972
694,970
694,968
690,968
690,966
686,968
684,966
684,962
680,962
682,962
676,958
674,958
672,956
672,956
668,954
664,952
666,950
664,952
662,950
660,946
658,944
654,946
652,942
648,940
648,940
646,938
644,936
642,936
640,934
636,930
634,928
630,924
626,922
628,924
622,920
622,916
618,914
616,912
614,910
612,906
610,906
610,910
610,910
610,912
610,914
612,916
612,916
612,920
610,920
610,922
614,920
614,922
610,924
612,924
612,926
610,926
612,930
612,932
612,930
612,930
612,934
610,934
612,936
612,938
608,938
612,940
612,940
608,938
612,944
612,942
612,940
612,944
610,946
612,946
612,948
608,946
608,948
610,950
610,948
608,948
606,948
608,950
606,948
606,948
608,952
606,950
606,950
608,952
606,950
608,950
608,950
606,950
606,950
606,950
606,952
606,950
606,950
606,950
608,950
606,950
606,950
606,950
606,952
608,950
606,950
606,948
608,950
604,946
606,946
606,946
604,946
604,944
604,944
606,946
604,942
604,942
604,942
604,942
606,940
604,940
606,940
604,940
606,936
604,936
602,934
604,936
602,932
602,932
602,930
604,932
602,928
604,930
604,930
604,926
602,924
602,924
604,922
602,920
602,918
602,916
602,906
600,868
598,866
598,850
598,840
598,836
598,836
598,824
598,820
594,820
596,814
596,812
596,810
596,806
596,804
596,802
594,798
596,794
594,782
594,780
596,774
596,772
594,766
590,764
594,756
592,744
592,726
592,718
