X,Y
1162,624
1148,636
1148,640
1146,652
1146,654
1146,656
1142,676
1142,678
1102,766
1100,770
1098,772
1096,776
1094,780
1090,782
1090,784
1086,788
1084,792
1082,794
1080,800
1076,804
1074,806
1072,808
1070,812
1068,814
1066,816
1064,820
1062,822
1058,824
1056,828
1054,830
1054,832
1050,836
1048,838
1048,840
1046,842
1044,846
1040,848
1038,850
1036,852
1034,856
1032,858
1030,860
1028,862
1026,864
1024,866
1022,870
1020,872
1018,874
1016,876
1014,878
1010,880
1008,882
1008,886
1006,886
1002,888
1000,892
998,894
996,896
992,898
990,900
988,902
986,902
986,902
982,906
984,908
974,914
970,918
966,918
966,922
962,926
962,924
958,926
956,930
954,930
952,932
950,932
948,932
946,934
944,938
942,938
940,938
938,942
936,944
934,944
932,946
932,948
928,950
926,948
924,950
920,954
920,954
918,956
916,956
914,958
912,960
910,958
908,960
906,962
904,962
902,964
900,966
898,966
894,966
892,968
892,968
888,970
886,970
886,972
880,972
880,972
880,974
874,974
874,974
872,976
868,976
868,976
866,978
864,976
862,980
860,982
858,980
856,980
854,980
852,982
850,982
848,980
846,982
844,982
840,984
838,984
838,984
836,982
832,984
830,982
828,986
824,984
822,984
822,984
820,984
816,984
818,984
814,984
810,986
810,986
808,986
806,984
804,986
802,984
800,984
798,986
796,984
790,984
790,986
788,984
786,984
784,986
782,984
776,982
774,982
772,982
770,982
768,982
756,980
756,978
754,978
752,978
748,978
748,978
740,974
738,974
736,972
734,974
730,974
730,970
726,972
726,970
724,968
722,968
720,966
718,964
714,966
716,966
712,962
708,962
706,962
706,960
702,960
700,960
698,958
696,954
694,952
690,954
688,952
688,948
686,948
684,946
682,948
678,948
678,942
676,944
674,942
672,940
668,938
668,938
664,936
664,932
660,934
658,930
656,930
654,928
654,928
650,924
648,924
648,922
644,920
642,918
642,918
638,914
636,912
634,912
630,908
628,906
626,904
624,902
622,900
614,894
612,890
574,852
572,852
572,850
570,848
570,848
570,848
570,848
570,848
570,846
568,846
568,844
566,842
566,842
568,842
564,838
564,838
564,838
566,838
564,836
564,834
564,834
562,832
562,830
562,832
562,830
562,830
560,826
562,826
560,822
560,824
558,822
560,820
558,818
558,820
558,818
558,814
558,816
556,812
558,814
556,810
556,810
556,810
556,806
556,804
554,804
556,800
554,800
552,800
552,798
552,796
554,794
552,792
552,792
550,788
552,788
550,786
550,784
550,782
548,780
550,778
550,776
550,774
548,774
548,770
544,770
546,768
546,766
546,762
546,760
544,756
544,756
546,754
546,754
546,750
546,748
542,734
542,730
542,730
542,726
540,718
542,716
538,714
540,710
538,700
